Ensembl.ID,Gene,"Mean(zygote, 4 cell)","Mean(8 cell, morula, ICM, Epi, PrEnd)",LogFC#1,"Mean(zygote, 4 cell, 8 cell)","Mean(morula, ICM, Epi, PrEnd)",LogFC#2
ENSG00000075673,ATP12A,0.00,3.33,Inf,0.00,4.16,Inf
ENSG00000075702,WDR62,1.43,2.21,0.63,1.11,2.65,1.25
ENSG00000075711,DLG1,8.61,2.43,-1.82,6.05,2.80,-1.11
ENSG00000075785,RAB7A,47.31,127.13,1.43,62.85,135.43,1.11
ENSG00000075790,BCAP29,1.81,5.52,1.61,1.86,6.41,1.79
ENSG00000075826,SEC31B,0.26,0.35,0.44,0.18,0.44,1.27
ENSG00000075856,SART3,40.25,11.30,-1.83,31.52,10.61,-1.57
ENSG00000075884,ARHGAP15,4.32,0.12,-5.14,2.98,0.07,-5.36
ENSG00000075886,TUBA3D,6.38,14.61,1.20,12.38,12.16,-0.03
ENSG00000075891,PAX2,0.01,0.03,2.68,0.05,0.01,-3.32
ENSG00000075914,EXOSC7,28.20,23.65,-0.25,20.66,28.17,0.45
ENSG00000075945,KIFAP3,2.84,5.70,1.01,2.46,6.70,1.45
ENSG00000075975,MKRN2,29.23,18.07,-0.69,27.23,16.78,-0.70
ENSG00000076003,MCM6,10.13,39.98,1.98,15.14,43.68,1.53
ENSG00000076043,REXO2,95.71,20.23,-2.24,66.11,23.55,-1.49
ENSG00000076053,RBM7,0.48,7.17,3.90,3.55,6.55,0.88
ENSG00000076067,RBMS2,4.69,0.66,-2.82,3.54,0.52,-2.78
ENSG00000076108,BAZ2A,38.07,8.90,-2.10,29.38,8.12,-1.86
ENSG00000076201,PTPN23,2.56,2.01,-0.34,2.13,2.20,0.04
ENSG00000076242,MLH1,2.34,10.46,2.16,5.05,10.45,1.05
ENSG00000076248,UNG,132.40,71.75,-0.88,105.78,76.56,-0.47
ENSG00000076258,FMO4,0.10,0.18,0.83,0.15,0.16,0.09
ENSG00000076321,KLHL20,31.48,6.08,-2.37,25.10,4.52,-2.48
ENSG00000076344,RGS11,0.35,0.25,-0.49,0.33,0.24,-0.43
ENSG00000076351,SLC46A1,0.03,0.75,4.91,0.03,0.93,5.13
ENSG00000076356,PLXNA2,0.05,1.42,4.82,0.13,1.70,3.75
ENSG00000076382,SPAG5,7.08,27.91,1.98,10.20,30.78,1.59
ENSG00000076513,ANKRD13A,17.61,2.73,-2.69,13.06,2.42,-2.43
ENSG00000076554,TPD52,28.86,4.49,-2.68,19.85,5.15,-1.95
ENSG00000076555,ACACB,0.13,0.09,-0.44,0.11,0.10,-0.21
ENSG00000076604,TRAF4,0.32,9.58,4.90,1.26,11.19,3.15
ENSG00000076641,PAG1,12.26,0.54,-4.51,8.63,0.32,-4.74
ENSG00000076650,GPATCH1,23.30,5.35,-2.12,16.45,6.00,-1.46
ENSG00000076662,ICAM3,0.00,0.07,Inf,0.00,0.09,Inf
ENSG00000076685,NT5C2,0.67,4.07,2.60,0.94,4.71,2.32
ENSG00000076706,MCAM,7.58,4.46,-0.77,6.54,4.46,-0.55
ENSG00000076716,GPC4,0.21,2.70,3.72,0.97,2.75,1.50
ENSG00000076770,MBNL3,0.06,1.39,4.54,0.08,1.71,4.48
ENSG00000076826,CAMSAP3,0.63,1.09,0.80,0.42,1.36,1.68
ENSG00000076864,RAP1GAP,0.52,0.16,-1.70,0.36,0.19,-0.89
ENSG00000076924,XAB2,1.49,10.28,2.79,1.48,12.48,3.08
ENSG00000076928,ARHGEF1,0.17,2.00,3.60,0.14,2.48,4.15
ENSG00000076944,STXBP2,0.85,1.53,0.85,0.66,1.84,1.48
ENSG00000076984,MAP2K7,4.62,2.30,-1.01,3.57,2.50,-0.52
ENSG00000077009,NMRK2,9.66,9.65,0.00,8.81,10.28,0.22
ENSG00000077044,DGKD,1.46,3.16,1.12,2.70,2.66,-0.02
ENSG00000077063,CTTNBP2,8.03,0.65,-3.63,5.72,0.54,-3.41
ENSG00000077080,ACTL6B,0.01,0.02,1.85,0.00,0.02,2.75
ENSG00000077092,RARB,4.97,0.61,-3.03,3.83,0.38,-3.34
ENSG00000077097,TOP2B,10.96,6.01,-0.87,8.36,6.72,-0.32
ENSG00000077147,TM9SF3,8.96,15.67,0.81,10.52,16.17,0.62
ENSG00000077150,NFKB2,4.43,6.99,0.66,3.84,8.07,1.07
ENSG00000077152,UBE2T,84.98,156.80,0.88,91.53,169.85,0.89
ENSG00000077157,PPP1R12B,0.67,0.58,-0.20,0.67,0.56,-0.27
ENSG00000077232,DNAJC10,1.34,2.56,0.94,1.26,2.93,1.22
ENSG00000077235,GTF3C1,2.60,6.93,1.42,2.76,7.89,1.51
ENSG00000077238,IL4R,0.84,1.16,0.47,0.59,1.43,1.27
ENSG00000077254,USP33,2.46,6.85,1.48,2.63,7.82,1.57
ENSG00000077264,PAK3,0.02,0.09,2.65,0.01,0.12,3.55
ENSG00000077274,CAPN6,0.10,0.32,1.67,0.07,0.40,2.58
ENSG00000077279,DCX,0.37,0.04,-3.36,0.29,0.01,-4.87
ENSG00000077312,SNRPA,11.93,50.94,2.09,9.39,62.59,2.74
ENSG00000077327,SPAG6,4.65,0.43,-3.43,3.35,0.36,-3.24
ENSG00000077348,EXOSC5,1.62,80.73,5.64,5.11,97.88,4.26
ENSG00000077380,DYNC1I2,51.87,7.10,-2.87,35.78,7.97,-2.17
ENSG00000077420,APBB1IP,0.00,0.16,Inf,0.09,0.14,0.69
ENSG00000077454,LRCH4,0.76,0.35,-1.12,0.69,0.30,-1.22
ENSG00000077458,FAM76B,6.86,5.21,-0.40,6.86,4.81,-0.51
ENSG00000077463,SIRT6,0.59,10.43,4.16,1.11,12.50,3.49
ENSG00000077498,TYR,0.01,0.00,-1.32,0.00,0.00,-0.42
ENSG00000077514,POLD3,44.38,14.62,-1.60,34.32,14.73,-1.22
ENSG00000077522,ACTN2,0.17,0.35,1.03,0.43,0.20,-1.15
ENSG00000077549,CAPZB,20.27,42.92,1.08,16.21,51.63,1.67
ENSG00000077585,GPR137B,29.93,0.85,-5.14,21.07,0.22,-6.57
ENSG00000077616,NAALAD2,2.31,1.86,-0.31,2.26,1.78,-0.34
ENSG00000077684,JADE1,2.53,5.69,1.17,2.01,6.86,1.77
ENSG00000077713,SLC25A43,0.04,5.14,7.20,1.44,5.36,1.90
ENSG00000077721,UBE2A,18.83,17.40,-0.11,13.06,21.36,0.71
ENSG00000077782,FGFR1,4.35,8.17,0.91,3.22,9.97,1.63
ENSG00000077800,FKBP6,11.01,3.02,-1.86,9.42,2.21,-2.09
ENSG00000077935,SMC1B,5.24,0.60,-3.14,4.00,0.37,-3.45
ENSG00000077942,FBLN1,0.40,6.21,3.96,0.41,7.66,4.23
ENSG00000077943,ITGA8,0.33,0.02,-4.34,0.24,0.01,-5.56
ENSG00000077984,CST7,0.01,0.08,4.00,0.06,0.06,-0.20
ENSG00000078018,MAP2,0.00,0.08,Inf,0.13,0.01,-4.66
ENSG00000078043,PIAS2,3.92,2.72,-0.52,3.65,2.62,-0.48
ENSG00000078053,AMPH,7.37,1.00,-2.88,5.37,0.91,-2.56
ENSG00000078061,ARAF,2.30,8.81,1.94,1.70,10.89,2.68
ENSG00000078070,MCCC1,3.40,0.50,-2.75,2.44,0.50,-2.28
ENSG00000078081,LAMP3,2.60,0.37,-2.83,2.08,0.20,-3.42
ENSG00000078098,FAP,0.00,0.00,Inf,0.01,0.00,-Inf
ENSG00000078114,NEBL,5.34,0.46,-3.54,4.19,0.11,-5.32
ENSG00000078124,ACER3,2.53,2.36,-0.10,1.88,2.81,0.58
ENSG00000078140,UBE2K,15.39,28.18,0.87,15.16,31.54,1.06
ENSG00000078142,PIK3C3,1.48,3.37,1.19,3.11,2.61,-0.25
ENSG00000078177,N4BP2,6.30,8.46,0.43,5.16,9.85,0.93
ENSG00000078237,TIGAR,6.52,50.35,2.95,16.93,53.50,1.66
ENSG00000078246,TULP3,210.47,22.05,-3.25,158.24,14.13,-3.49
ENSG00000078269,SYNJ2,8.56,1.20,-2.83,5.84,1.40,-2.06
ENSG00000078295,ADCY2,0.38,0.01,-4.76,0.27,0.00,-6.77
ENSG00000078304,PPP2R5C,16.94,5.12,-1.73,12.16,5.76,-1.08
ENSG00000078328,RBFOX1,2.09,0.09,-4.47,1.47,0.06,-4.61
ENSG00000078369,GNB1,63.12,16.98,-1.89,46.57,17.85,-1.38
ENSG00000078399,HOXA9,0.60,0.03,-4.53,0.43,0.01,-5.09
ENSG00000078401,EDN1,3.94,0.92,-2.10,3.10,0.79,-1.98
ENSG00000078403,MLLT10,14.46,6.30,-1.20,11.52,6.46,-0.83
ENSG00000078487,ZCWPW1,37.90,1.58,-4.59,26.77,0.84,-4.99
ENSG00000078549,ADCYAP1R1,0.35,0.04,-3.20,0.23,0.05,-2.30
ENSG00000078579,FGF20,0.00,0.04,Inf,0.00,0.05,Inf
ENSG00000078589,P2RY10,0.00,0.00,NA,0.00,0.00,NA
ENSG00000078596,ITM2A,0.03,0.18,2.85,0.02,0.23,3.75
ENSG00000078618,NRDC,0.76,24.88,5.03,1.99,29.99,3.91
ENSG00000078668,VDAC3,32.43,67.00,1.05,23.73,82.17,1.79
ENSG00000078674,PCM1,10.28,5.94,-0.79,9.06,5.76,-0.65
ENSG00000078687,TNRC6C,1.18,1.73,0.55,1.26,1.80,0.51
ENSG00000078699,CBFA2T2,0.80,6.76,3.08,2.72,6.81,1.33
ENSG00000078725,BRINP1,18.05,1.12,-4.01,13.02,0.66,-4.30
ENSG00000078747,ITCH,4.20,3.60,-0.22,3.65,3.86,0.08
ENSG00000078795,PKD2L2,0.02,0.11,2.41,0.04,0.12,1.65
ENSG00000078804,TP53INP2,12.54,2.20,-2.51,8.63,2.55,-1.76
ENSG00000078808,SDF4,0.46,6.94,3.92,0.47,8.56,4.18
ENSG00000078814,MYH7B,0.06,0.19,1.76,0.04,0.23,2.66
ENSG00000078898,BPIFB2,0.01,0.00,-1.32,0.01,0.01,-0.42
ENSG00000078900,TP73,0.76,0.36,-1.08,0.50,0.45,-0.18
ENSG00000078902,TOLLIP,1.25,7.66,2.62,1.85,8.81,2.25
ENSG00000078967,UBE2D4,0.95,2.27,1.26,0.75,2.76,1.88
ENSG00000079101,CLUL1,2.09,0.10,-4.41,1.50,0.04,-5.23
ENSG00000079102,RUNX1T1,19.71,1.43,-3.78,13.50,1.52,-3.15
ENSG00000079112,CDH17,6.70,0.39,-4.12,4.86,0.19,-4.70
ENSG00000079134,THOC1,3.17,6.07,0.94,2.99,6.93,1.21
ENSG00000079150,FKBP7,0.01,0.27,5.74,0.05,0.30,2.58
ENSG00000079156,OSBPL6,2.90,6.00,1.05,6.01,4.45,-0.44
ENSG00000079215,SLC1A3,0.05,8.41,7.39,0.05,10.50,7.71
ENSG00000079246,XRCC5,9.11,89.08,3.29,29.79,93.56,1.65
ENSG00000079257,LXN,0.54,0.55,0.05,0.36,0.69,0.93
ENSG00000079263,SP140,0.24,0.03,-3.00,0.16,0.04,-2.09
ENSG00000079277,MKNK1,8.05,6.24,-0.37,5.96,7.35,0.30
ENSG00000079308,TNS1,0.02,0.16,2.98,0.03,0.19,2.81
ENSG00000079313,REXO1,5.80,1.29,-2.17,4.05,1.48,-1.46
ENSG00000079332,SAR1A,5.86,43.11,2.88,16.94,44.11,1.38
ENSG00000079335,CDC14A,0.14,0.62,2.15,0.13,0.75,2.57
ENSG00000079337,RAPGEF3,0.01,0.01,-0.32,0.01,0.01,0.58
ENSG00000079385,CEACAM1,0.05,5.20,6.85,0.04,6.49,7.34
ENSG00000079387,SENP1,3.00,2.71,-0.14,2.55,2.98,0.23
ENSG00000079393,DUSP13,0.00,0.23,Inf,0.05,0.25,2.23
ENSG00000079432,CIC,0.04,1.12,5.00,0.05,1.38,4.69
ENSG00000079435,LIPE,1.01,0.03,-4.89,0.68,0.04,-4.18
ENSG00000079459,FDFT1,127.51,16.90,-2.92,86.79,19.78,-2.13
ENSG00000079462,PAFAH1B3,2.97,47.69,4.01,3.71,58.31,3.97
ENSG00000079482,OPHN1,0.45,0.09,-2.31,0.38,0.05,-2.84
ENSG00000079557,AFM,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000079616,KIF22,9.50,37.93,2.00,11.75,43.35,1.88
ENSG00000079689,SCGN,0.00,0.12,Inf,0.20,0.00,-6.35
ENSG00000079691,CARMIL1,31.30,8.27,-1.92,21.46,9.89,-1.12
ENSG00000079739,PGM1,3.02,10.16,1.75,2.06,12.66,2.62
ENSG00000079785,DDX1,26.69,63.54,1.25,23.26,75.33,1.70
ENSG00000079805,DNM2,0.50,5.24,3.40,1.05,6.01,2.51
ENSG00000079819,EPB41L2,16.42,5.24,-1.65,13.27,4.81,-1.46
ENSG00000079841,RIMS1,0.06,0.07,0.18,0.10,0.04,-1.46
ENSG00000079931,MOXD1,0.00,0.01,Inf,0.00,0.01,1.17
ENSG00000079950,STX7,3.77,2.75,-0.45,2.71,3.29,0.28
ENSG00000079974,RABL2B,1.69,0.81,-1.05,1.19,0.97,-0.29
ENSG00000079999,KEAP1,1.58,15.45,3.29,2.72,18.07,2.73
ENSG00000080007,DDX43,34.28,11.29,-1.60,30.05,8.71,-1.79
ENSG00000080031,PTPRH,7.28,0.34,-4.41,5.29,0.10,-5.76
ENSG00000080166,DCT,48.73,1.07,-5.51,34.14,0.10,-8.49
ENSG00000080189,SLC35C2,2.98,5.01,0.75,2.40,5.96,1.31
ENSG00000080200,CRYBG3,0.77,0.45,-0.76,0.98,0.22,-2.19
ENSG00000080224,EPHA6,0.11,0.01,-3.78,0.08,0.01,-3.35
ENSG00000080293,SCTR,0.00,0.03,Inf,0.00,0.04,Inf
ENSG00000080298,RFX3,1.21,0.28,-2.10,0.93,0.26,-1.84
ENSG00000080345,RIF1,8.65,11.96,0.47,13.09,9.46,-0.47
ENSG00000080371,RAB21,1.24,2.28,0.88,1.93,2.02,0.06
ENSG00000080493,SLC4A4,0.01,0.06,2.68,0.11,0.00,-5.46
ENSG00000080503,SMARCA2,22.85,2.31,-3.31,16.65,1.82,-3.19
ENSG00000080511,RDH8,0.03,0.00,-Inf,0.02,0.00,-Inf
ENSG00000080546,SESN1,10.08,10.51,0.06,8.13,12.08,0.57
ENSG00000080561,MID2,0.09,0.06,-0.68,0.06,0.07,0.22
ENSG00000080572,PIH1D3,0.03,0.00,-3.91,0.02,0.00,-3.00
ENSG00000080573,COL5A3,0.02,0.01,-0.51,0.03,0.01,-1.83
ENSG00000080603,SRCAP,0.13,0.57,2.20,0.21,0.63,1.60
ENSG00000080608,PUM3,20.77,79.79,1.94,47.85,74.24,0.63
ENSG00000080618,CPB2,0.01,0.09,3.10,0.01,0.11,3.39
ENSG00000080644,CHRNA3,2.43,0.66,-1.88,2.03,0.51,-2.00
ENSG00000080709,KCNN2,14.16,0.51,-4.80,9.64,0.49,-4.31
ENSG00000080802,CNOT4,29.82,7.39,-2.01,25.36,5.13,-2.31
ENSG00000080815,PSEN1,5.61,6.56,0.23,4.95,7.29,0.56
ENSG00000080819,CPOX,0.11,5.74,5.77,1.76,5.91,1.75
ENSG00000080822,CLDND1,15.49,12.96,-0.26,12.22,14.77,0.27
ENSG00000080823,MOK,3.26,0.91,-1.84,2.77,0.69,-2.01
ENSG00000080824,HSP90AA1,589.75,366.56,-0.69,467.37,402.55,-0.22
ENSG00000080839,RBL1,0.39,1.39,1.83,0.60,1.48,1.29
ENSG00000080845,DLGAP4,3.19,3.74,0.23,2.55,4.36,0.77
ENSG00000080854,IGSF9B,0.04,0.05,0.43,0.03,0.06,0.91
ENSG00000080910,CFHR2,0.00,0.00,Inf,0.00,0.01,Inf
ENSG00000080986,NDC80,8.02,18.71,1.22,7.44,21.82,1.55
ENSG00000081014,AP4E1,0.13,2.32,4.21,0.80,2.36,1.57
ENSG00000081019,RSBN1,2.03,3.74,0.89,2.82,3.58,0.34
ENSG00000081026,MAGI3,1.27,1.71,0.43,1.28,1.81,0.49
ENSG00000081041,CXCL2,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000081051,AFP,0.00,0.00,Inf,0.00,0.01,Inf
ENSG00000081052,COL4A4,0.27,0.03,-3.38,0.19,0.02,-3.10
ENSG00000081059,TCF7,7.93,1.57,-2.33,5.69,1.66,-1.78
ENSG00000081087,OSTM1,3.05,4.04,0.41,3.19,4.18,0.39
ENSG00000081138,CDH7,0.01,0.01,0.26,0.00,0.01,1.17
ENSG00000081148,IMPG2,0.02,0.02,0.00,0.03,0.01,-1.26
ENSG00000081154,PCNP,11.53,33.41,1.53,10.88,39.37,1.86
ENSG00000081177,EXD2,2.56,2.76,0.11,2.02,3.22,0.67
ENSG00000081181,ARG2,83.53,5.45,-3.94,59.75,3.77,-3.99
ENSG00000081189,MEF2C,0.00,0.00,NA,0.00,0.00,NA
ENSG00000081237,PTPRC,0.01,0.01,0.49,0.01,0.02,1.39
ENSG00000081248,CACNA1S,0.07,0.03,-1.13,0.05,0.04,-0.22
ENSG00000081277,PKP1,0.03,0.01,-2.06,0.02,0.01,-2.00
ENSG00000081307,UBA5,12.61,4.89,-1.37,8.89,5.75,-0.63
ENSG00000081320,STK17B,3.15,6.68,1.09,8.59,3.49,-1.30
ENSG00000081377,CDC14B,0.18,0.90,2.36,0.52,0.82,0.66
ENSG00000081386,ZNF510,3.34,1.59,-1.07,2.37,1.88,-0.33
ENSG00000081479,LRP2,0.02,4.85,7.92,0.03,6.05,7.66
ENSG00000081665,ZNF506,1.80,2.72,0.60,3.09,1.99,-0.64
ENSG00000081692,JMJD4,0.09,4.80,5.82,0.96,5.32,2.48
ENSG00000081721,DUSP12,9.20,64.34,2.81,61.79,38.68,-0.68
ENSG00000081760,AACS,2.46,0.74,-1.73,1.77,0.83,-1.09
ENSG00000081791,KIAA0141,1.85,2.83,0.61,1.56,3.29,1.08
ENSG00000081800,SLC13A1,0.06,0.00,-Inf,0.04,0.00,-Inf
ENSG00000081803,CADPS2,9.68,0.63,-3.95,7.37,0.09,-6.32
ENSG00000081818,PCDHB4,0.00,0.02,Inf,0.03,0.01,-2.58
ENSG00000081842,PCDHA6,0.00,0.00,NA,0.00,0.00,NA
ENSG00000081853,PCDHGA2,0.00,0.07,Inf,0.00,0.09,Inf
ENSG00000081870,HSPB11,18.05,8.95,-1.01,14.89,9.04,-0.72
ENSG00000081913,PHLPP1,4.52,2.84,-0.67,4.47,2.46,-0.86
ENSG00000081923,ATP8B1,1.68,7.09,2.08,6.99,4.46,-0.65
ENSG00000081985,IL12RB2,0.00,0.07,Inf,0.09,0.02,-2.17
ENSG00000082014,SMARCD3,0.54,0.09,-2.51,0.40,0.08,-2.29
ENSG00000082068,WDR70,11.50,5.93,-0.95,8.88,6.50,-0.45
ENSG00000082074,FYB,0.00,2.08,Inf,0.00,2.60,Inf
ENSG00000082126,MPP4,1.15,0.08,-3.77,0.87,0.03,-5.12
ENSG00000082146,STRADB,4.69,5.36,0.20,3.61,6.34,0.81
ENSG00000082153,BZW1,2.55,28.47,3.48,27.56,16.19,-0.77
ENSG00000082175,PGR,0.00,0.00,NA,0.00,0.00,NA
ENSG00000082196,C1QTNF3,0.00,0.02,Inf,0.00,0.03,Inf
ENSG00000082212,ME2,0.39,1.45,1.92,0.36,1.74,2.26
ENSG00000082213,C5orf22,11.41,9.98,-0.19,10.93,9.98,-0.13
ENSG00000082258,CCNT2,3.82,5.47,0.52,5.23,4.83,-0.12
ENSG00000082269,FAM135A,1.33,2.44,0.88,1.38,2.68,0.96
ENSG00000082293,COL19A1,0.01,0.14,4.79,0.00,0.17,5.69
ENSG00000082397,EPB41L3,2.12,0.69,-1.62,1.47,0.82,-0.85
ENSG00000082438,COBLL1,3.73,0.76,-2.30,2.64,0.83,-1.66
ENSG00000082458,DLG3,12.28,4.59,-1.42,8.42,5.56,-0.60
ENSG00000082482,KCNK2,0.01,0.06,3.49,0.03,0.05,0.74
ENSG00000082497,SERTAD4,0.02,0.63,4.98,0.09,0.73,3.02
ENSG00000082512,TRAF5,2.05,2.03,-0.01,1.46,2.47,0.75
ENSG00000082515,MRPL22,7.18,29.00,2.02,8.64,33.36,1.95
ENSG00000082516,GEMIN5,381.89,8.53,-5.48,259.56,6.95,-5.22
ENSG00000082556,OPRK1,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000082641,NFE2L1,4.49,4.58,0.03,3.97,4.99,0.33
ENSG00000082684,SEMA5B,0.03,0.02,-0.18,0.03,0.02,-0.42
ENSG00000082701,GSK3B,4.09,4.37,0.10,4.80,3.90,-0.30
ENSG00000082781,ITGB5,3.38,8.51,1.33,2.89,10.15,1.81
ENSG00000082805,ERC1,8.59,3.43,-1.33,8.19,2.44,-1.75
ENSG00000082898,XPO1,4.08,25.07,2.62,17.14,20.53,0.26
ENSG00000082996,RNF13,16.58,8.71,-0.93,12.87,9.53,-0.43
ENSG00000083067,TRPM3,0.09,0.01,-3.82,0.06,0.00,-4.66
ENSG00000083093,PALB2,16.68,2.52,-2.73,11.73,2.69,-2.13
ENSG00000083097,DOPEY1,25.52,0.89,-4.85,18.13,0.27,-6.08
ENSG00000083099,LYRM2,1.19,3.59,1.59,1.70,3.81,1.17
ENSG00000083123,BCKDHB,3.21,0.85,-1.91,2.24,0.99,-1.18
ENSG00000083168,KAT6A,3.69,2.64,-0.48,4.02,2.13,-0.91
ENSG00000083223,ZCCHC6,6.98,5.33,-0.39,8.45,3.81,-1.15
ENSG00000083290,ULK2,4.63,12.30,1.41,15.85,5.81,-1.45
ENSG00000083307,GRHL2,12.62,3.43,-1.88,8.88,3.93,-1.18
ENSG00000083312,TNPO1,8.81,12.11,0.46,6.80,14.44,1.09
ENSG00000083444,PLOD1,0.18,13.60,6.24,0.27,16.89,5.95
ENSG00000083454,P2RX5,3.35,0.48,-2.81,2.45,0.43,-2.50
ENSG00000083457,ITGAE,4.35,5.31,0.29,3.40,6.26,0.88
ENSG00000083520,DIS3,0.17,8.19,5.59,5.19,6.44,0.31
ENSG00000083535,PIBF1,3.75,3.79,0.02,2.93,4.42,0.59
ENSG00000083544,TDRD3,2.87,2.00,-0.52,2.62,1.98,-0.41
ENSG00000083635,NUFIP1,31.76,30.77,-0.05,50.35,16.58,-1.60
ENSG00000083642,PDS5B,1.75,4.91,1.49,2.75,4.95,0.85
ENSG00000083720,OXCT1,0.74,1.89,1.36,1.03,1.96,0.93
ENSG00000083750,RRAGB,4.80,3.32,-0.53,4.47,3.19,-0.49
ENSG00000083782,EPYC,0.00,0.00,NA,0.00,0.00,NA
ENSG00000083799,CYLD,6.00,1.17,-2.36,5.16,0.59,-3.13
ENSG00000083807,SLC27A5,0.21,0.30,0.57,0.14,0.38,1.43
ENSG00000083812,ZNF324,7.37,5.42,-0.44,9.17,3.58,-1.36
ENSG00000083814,ZNF671,0.79,1.41,0.84,0.66,1.67,1.34
ENSG00000083817,ZNF416,29.06,13.19,-1.14,26.90,10.85,-1.31
ENSG00000083828,ZNF586,19.37,23.10,0.25,30.95,15.34,-1.01
ENSG00000083838,ZNF446,0.08,0.62,2.96,0.15,0.71,2.23
ENSG00000083844,ZNF264,0.23,1.10,2.29,1.16,0.62,-0.90
ENSG00000083845,RPS5,207.19,469.43,1.18,350.87,427.23,0.28
ENSG00000083857,FAT1,4.11,1.06,-1.95,3.51,0.75,-2.22
ENSG00000083896,YTHDC1,9.82,12.55,0.35,10.61,12.64,0.25
ENSG00000083937,CHMP2B,35.00,21.82,-0.68,26.41,24.96,-0.08
ENSG00000084070,SMAP2,2.81,1.60,-0.81,2.61,1.45,-0.85
ENSG00000084072,PPIE,1.51,11.32,2.91,2.95,12.68,2.10
ENSG00000084073,ZMPSTE24,15.79,30.12,0.93,16.41,33.23,1.02
ENSG00000084090,STARD7,52.45,43.92,-0.26,43.81,48.27,0.14
ENSG00000084092,NOA1,11.27,19.08,0.76,12.49,20.12,0.69
ENSG00000084093,REST,3.96,33.80,3.10,21.06,28.43,0.43
ENSG00000084110,HAL,3.89,0.33,-3.54,2.81,0.25,-3.49
ENSG00000084112,SSH1,4.97,0.94,-2.41,3.62,0.94,-1.95
ENSG00000084207,GSTP1,0.89,570.23,9.32,2.52,711.34,8.14
ENSG00000084234,APLP2,15.98,83.64,2.39,18.86,98.40,2.38
ENSG00000084444,FAM234B,1.27,1.64,0.37,0.94,1.98,1.08
ENSG00000084453,SLCO1A2,0.08,0.68,3.17,0.10,0.81,3.01
ENSG00000084463,WBP11,22.45,26.01,0.21,34.52,17.85,-0.95
ENSG00000084623,EIF3I,34.04,313.86,3.20,144.98,300.61,1.05
ENSG00000084628,NKAIN1,0.15,0.18,0.33,0.11,0.22,1.04
ENSG00000084636,COL16A1,0.02,0.02,0.14,0.04,0.01,-2.42
ENSG00000084652,TXLNA,0.19,16.90,6.47,1.98,19.73,3.31
ENSG00000084674,APOB,0.00,0.10,Inf,0.00,0.13,Inf
ENSG00000084676,NCOA1,18.69,7.89,-1.24,17.51,6.07,-1.53
ENSG00000084693,AGBL5,1.09,1.51,0.48,1.24,1.50,0.28
ENSG00000084710,EFR3B,1.35,5.97,2.14,1.13,7.28,2.68
ENSG00000084731,KIF3C,13.48,1.65,-3.03,10.02,1.29,-2.96
ENSG00000084733,RAB10,38.35,53.83,0.49,44.98,52.73,0.23
ENSG00000084734,GCKR,0.10,2.08,4.45,0.10,2.57,4.73
ENSG00000084754,HADHA,7.89,20.61,1.39,6.41,24.90,1.96
ENSG00000084764,MAPRE3,2.18,0.40,-2.46,1.56,0.42,-1.91
ENSG00000084774,CAD,6.41,10.17,0.67,5.11,12.08,1.24
ENSG00000085063,CD59,23.80,9.55,-1.32,18.70,9.81,-0.93
ENSG00000085117,CD82,24.97,5.11,-2.29,19.00,4.62,-2.04
ENSG00000085185,BCORL1,4.71,1.97,-1.26,3.50,2.20,-0.67
ENSG00000085224,ATRX,10.86,4.51,-1.27,8.68,4.55,-0.93
ENSG00000085231,AK6,3.66,43.38,3.57,10.75,48.00,2.16
ENSG00000085265,FCN1,0.06,0.00,-Inf,0.04,0.00,-Inf
ENSG00000085274,MYNN,6.55,4.53,-0.53,6.63,3.97,-0.74
ENSG00000085276,MECOM,3.63,0.07,-5.78,2.43,0.07,-5.07
ENSG00000085365,SCAMP1,14.54,13.19,-0.14,10.38,15.97,0.62
ENSG00000085377,PREP,34.93,6.78,-2.37,25.57,6.76,-1.92
ENSG00000085382,HACE1,2.51,0.74,-1.76,1.81,0.82,-1.14
ENSG00000085415,SEH1L,8.45,14.99,0.83,7.80,17.12,1.13
ENSG00000085433,WDR47,13.19,44.74,1.76,61.29,16.55,-1.89
ENSG00000085449,WDFY1,122.50,6.92,-4.15,88.64,3.42,-4.70
ENSG00000085465,OVGP1,0.14,1.50,3.47,0.63,1.47,1.23
ENSG00000085491,SLC25A24,0.01,1.30,7.02,0.15,1.52,3.34
ENSG00000085511,MAP3K4,7.75,5.55,-0.48,6.91,5.63,-0.30
ENSG00000085514,PILRA,0.06,0.38,2.68,0.18,0.38,1.10
ENSG00000085552,IGSF9,7.78,0.87,-3.16,5.50,0.85,-2.70
ENSG00000085563,ABCB1,0.02,0.33,4.45,0.29,0.20,-0.54
ENSG00000085644,ZNF213,0.16,0.26,0.68,0.24,0.22,-0.09
ENSG00000085662,AKR1B1,13.87,4.18,-1.73,9.96,4.69,-1.09
ENSG00000085719,CPNE3,0.06,6.50,6.88,1.37,7.12,2.37
ENSG00000085721,RRN3,20.18,24.60,0.29,43.74,8.03,-2.45
ENSG00000085733,CTTN,9.78,44.48,2.19,6.84,55.36,3.02
ENSG00000085741,WNT11,0.00,7.17,Inf,0.04,8.93,7.69
ENSG00000085760,MTIF2,11.24,38.70,1.78,14.52,43.10,1.57
ENSG00000085788,DDHD2,2.02,0.83,-1.28,1.62,0.84,-0.94
